,business1,business2,distance,rank,latitude,longitude,latitude_similar,longitude_similar,name,stars,url
2761,-6ncX3fnQ9OLCjfiUe-kFg,Qn10NNqKN3f85VdK15VOLw,0.6108694588327261,26,40.807975769,-73.9643707275,40.800866,-73.959654,Central Markets,2.5,http://www.yelp.com/biz/central-markets-new-york
846,-6ncX3fnQ9OLCjfiUe-kFg,A46G2OAvLxFswiONB50Rrg,0.6407865285643979,27,40.807975769,-73.9643707275,40.804419,-73.96605500000001,Koronet Pizza,3.5,http://www.yelp.com/biz/koronet-pizza-new-york
5038,-6ncX3fnQ9OLCjfiUe-kFg,qT9P64pYtAEjipB4SXGolA,0.6474545739572455,28,40.807975769,-73.9643707275,40.8045203,-73.9661507,Tomo Sushi & Sake Bar,3.0,http://www.yelp.com/biz/tomo-sushi-and-sake-bar-new-york
2210,-6ncX3fnQ9OLCjfiUe-kFg,L7J7eDgJTIctG8JzvMooMw,0.6713237093182628,29,40.807975769,-73.9643707275,40.805055100000004,-73.9548817,Frizzante,2.5,http://www.yelp.com/biz/frizzante-new-york
5143,-6ncX3fnQ9OLCjfiUe-kFg,sqPb2P93GGE1IHEdASLXvw,0.6743679331466059,30,40.807975769,-73.9643707275,40.8034374,-73.96373879999999,Bengal Cafe,3.0,http://www.yelp.com/biz/bengal-cafe-new-york
19,-8H1cK_UrrwnL2oh_ts2Vw,-8H1cK_UrrwnL2oh_ts2Vw,2.220446049250313e-16,1,40.804613,-73.967042,40.804613,-73.967042,Casbah Rouge,4.0,http://www.yelp.com/biz/casbah-rouge-new-york
2067,-8H1cK_UrrwnL2oh_ts2Vw,KgfFn5Z51DZoUzhJ186a0A,0.17227311631025433,2,40.804613,-73.967042,40.802762,-73.9680355,Indian Cafe,3.5,http://www.yelp.com/biz/indian-cafe-new-york-2
4379,-8H1cK_UrrwnL2oh_ts2Vw,hD55NUiGDK7STQ8oy9QDPA,0.20597380398458,3,40.804613,-73.967042,40.8057564,-73.9658802,Le Monde,3.0,http://www.yelp.com/biz/le-monde-new-york-3
3534,-8H1cK_UrrwnL2oh_ts2Vw,ZcTI78WOKE-iLAzAGccOvA,0.20879456356240744,4,40.804613,-73.967042,40.8041866,-73.9551575,Africa Kine Restaurant,3.0,http://www.yelp.com/biz/africa-kine-restaurant-new-york
1999,-8H1cK_UrrwnL2oh_ts2Vw,K-vL-ShpGsgbwf5chcE6vg,0.2260711859398876,5,40.804613,-73.967042,40.805904600000005,-73.9657394,Nacho Mama's Burritos,2.0,http://www.yelp.com/biz/nacho-mamas-burritos-new-york
1298,-8H1cK_UrrwnL2oh_ts2Vw,Ev04GeSgAXwKsO1qJiO9xQ,0.25694484594642003,6,40.804613,-73.967042,40.813910799999995,-73.9561224,Jesus Taco,2.5,http://www.yelp.com/biz/jesus-taco-new-york
3809,-8H1cK_UrrwnL2oh_ts2Vw,bEec28P1CziowM9LrNkNsg,0.3114387428270813,7,40.804613,-73.967042,40.801053,-73.958433,Cafe Amrita,3.5,http://www.yelp.com/biz/cafe-amrita-new-york
2468,-8H1cK_UrrwnL2oh_ts2Vw,OZtXG5DUsJZrtMFWodCNnA,0.34456767977046343,8,40.804613,-73.967042,40.803512289400004,-73.95625948909999,Harlem Food Bar,2.5,http://www.yelp.com/biz/harlem-food-bar-new-york
475,-8H1cK_UrrwnL2oh_ts2Vw,60f6JzTRhOyOggsjCfvh5Q,0.3602309033525873,9,40.804613,-73.967042,40.814025,-73.9598342,Hana Sushi,1.5,http://www.yelp.com/biz/hana-sushi-manhattan
3355,-8H1cK_UrrwnL2oh_ts2Vw,XSZDmxCJIJ5BVXHwjDR5ag,0.37235688208574197,10,40.804613,-73.967042,40.8114719,-73.9537373,M & G Diner,4.5,http://www.yelp.com/biz/m-and-g-diner-new-york
5745,-8H1cK_UrrwnL2oh_ts2Vw,yKPRuBvD3ScCc18QrZ4Y6w,0.3818293269610907,11,40.804613,-73.967042,40.814534,-73.95963,El Porton Bar and Restaurant,3.0,http://www.yelp.com/biz/el-porton-bar-and-restaurant-new-york
607,-8H1cK_UrrwnL2oh_ts2Vw,7ZjXpKwP78R-02w12kLT4w,0.4069512163184025,12,40.804613,-73.967042,40.805601,-73.96527990000001,Il Cibreo,3.0,http://www.yelp.com/biz/il-cibreo-manhattan-2
1656,-8H1cK_UrrwnL2oh_ts2Vw,IIsJN_ilLI36zGAF3SMCCQ,0.4437450679118736,13,40.804613,-73.967042,40.801426299999996,-73.96521779999999,La Piccola Cucina,3.5,http://www.yelp.com/biz/la-piccola-cucina-manhattan
3701,-8H1cK_UrrwnL2oh_ts2Vw,aVBHU_OAEau7sdk73EpNwA,0.4554207753131033,14,40.804613,-73.967042,40.8051343,-73.957029,Kuti's,4.0,http://www.yelp.com/biz/kutis-new-york
5821,-8H1cK_UrrwnL2oh_ts2Vw,yo_WAOnE2pPHCQduq_V_ZA,0.4584752880449603,15,40.804613,-73.967042,40.8056285,-73.9643813,Symposium Greek Restaurant,3.5,http://www.yelp.com/biz/symposium-greek-restaurant-new-york
3565,-8H1cK_UrrwnL2oh_ts2Vw,Zgf2Thpp7LeYE_Bg0QDzDg,0.4730173097043946,16,40.804613,-73.967042,40.805601,-73.96527990000001,Pertutti Cafe,1.5,http://www.yelp.com/biz/pertutti-cafe-new-york
1560,-8H1cK_UrrwnL2oh_ts2Vw,Hc-uW3uYqAOyB2as00J9og,0.4732614462702015,17,40.804613,-73.967042,40.8072295,-73.9647724,M2M,4.0,http://www.yelp.com/biz/m2m-new-york-2
3671,-8H1cK_UrrwnL2oh_ts2Vw,_Dc5E16rCL16j2xsUHw18Q,0.4824115831054656,18,40.804613,-73.967042,40.8026442,-73.96432890000001,Sip,3.0,http://www.yelp.com/biz/sip-new-york
5853,-8H1cK_UrrwnL2oh_ts2Vw,yue8UWXtQ38ddVn0fqAn0A,0.5096816687760586,19,40.804613,-73.967042,40.806161700000004,-73.9530551,Cedric French Bistro and Bar,4.0,http://www.yelp.com/biz/cedric-french-bistro-and-bar-manhattan
4345,-8H1cK_UrrwnL2oh_ts2Vw,h37hllqEt6v9HGqzdiupow,0.5527305462051291,20,40.804613,-73.967042,40.7997184,-73.96233790000001,One Cup Two Cupcakes,3.5,http://www.yelp.com/biz/one-cup-two-cupcakes-new-york
1506,-8H1cK_UrrwnL2oh_ts2Vw,H8TAPuQZa_pFaitbRnpY8Q,0.5634886248363125,21,40.804613,-73.967042,40.8064994,-73.96511059999999,Amir's Falafel,2.5,http://www.yelp.com/biz/amirs-falafel-new-york
847,-8H1cK_UrrwnL2oh_ts2Vw,A46G2OAvLxFswiONB50Rrg,0.5700019330539305,22,40.804613,-73.967042,40.804419,-73.96605500000001,Koronet Pizza,3.5,http://www.yelp.com/biz/koronet-pizza-new-york
506,-8H1cK_UrrwnL2oh_ts2Vw,6ivIw93SATyp6Syc-_k5Eg,0.5903025273388667,23,40.804613,-73.967042,40.802524299999995,-73.9565577,Atomic Wings,2.0,http://www.yelp.com/biz/atomic-wings-new-york-9
4977,-8H1cK_UrrwnL2oh_ts2Vw,pIrSHmLYW6Bdjiz-HHWd1Q,0.6007676619837814,24,40.804613,-73.967042,40.8141019,-73.95977740000001,Bettolona,4.0,http://www.yelp.com/biz/bettolona-new-york
5177,-8H1cK_UrrwnL2oh_ts2Vw,sqkSG2pAisfCfgtfkig2xw,0.6027696620595802,25,40.804613,-73.967042,40.8124011,-73.95519859999999,Cafe Addis,3.0,http://www.yelp.com/biz/cafe-addis-new-york
5883,-8H1cK_UrrwnL2oh_ts2Vw,yw2yc4OlDDf-5g9DcUtpuw,0.603735680293108,26,40.804613,-73.967042,40.809566499999995,-73.95925890000001,Grace Dodge Cafe,3.0,http://www.yelp.com/biz/grace-dodge-cafe-new-york
232,-8H1cK_UrrwnL2oh_ts2Vw,3ayb8-X8BvPyFh_E6FLyyw,0.6111681282940371,27,40.804613,-73.967042,40.8009294,-73.96761490000002,Five Lamps Tavern,3.5,http://www.yelp.com/biz/five-lamps-tavern-new-york
116,-8H1cK_UrrwnL2oh_ts2Vw,0Kcuy_vyfWlAetDgdmIy3g,0.6118506491218293,28,40.804613,-73.967042,40.80568770000001,-73.9623835,John Jay Dining Hall,2.0,http://www.yelp.com/biz/john-jay-dining-hall-new-york
5011,-8H1cK_UrrwnL2oh_ts2Vw,qBKcTxYgQzIdIlEYqv3qJg,0.6197553055133349,29,40.804613,-73.967042,40.8133753,-73.9560713,Amsterdam Pizza & Restaurant,4.5,http://www.yelp.com/biz/amsterdam-pizza-and-restaurant-new-york
3845,-8H1cK_UrrwnL2oh_ts2Vw,bWasMbk9JZLQLQf_EUr2Sg,0.6351310901065619,30,40.804613,-73.967042,40.808880200000004,-73.95933120000001,Amsterdam Restaurant & Tapas Lounge,3.0,http://www.yelp.com/biz/amsterdam-restaurant-and-tapas-lounge-new-york-3
41,-AQJhfna4qcxfDnCGx_yLA,-AQJhfna4qcxfDnCGx_yLA,0.0,1,40.806468357199996,-73.96506786350001,40.806468357199996,-73.96506786350001,Havana Central,3.0,http://www.yelp.com/biz/havana-central-new-york-8
698,-AQJhfna4qcxfDnCGx_yLA,8fDhtPpDAnFN44LVUIe3qQ,0.3705110839207302,2,40.806468357199996,-73.96506786350001,40.8032834,-73.95622159999999,Questan's,3.0,http://www.yelp.com/biz/questans-harlem
1180,-AQJhfna4qcxfDnCGx_yLA,EHMx2IhI-_ooHQo0N-AnHA,0.4129055993511521,3,40.806468357199996,-73.96506786350001,40.804769,-73.9551352,Svntn Below,3.0,http://www.yelp.com/biz/svntn-below-new-york
3590,-AQJhfna4qcxfDnCGx_yLA,ZiLCt6uZlGY61roYdfeqWA,0.4591591898213788,4,40.806468357199996,-73.96506786350001,40.7996075,-73.962398,Voza,4.0,http://www.yelp.com/biz/voza-new-york-2
1390,-AQJhfna4qcxfDnCGx_yLA,Fk495HaokZDrGkAG8s_dlg,0.4834795297611407,5,40.806468357199996,-73.96506786350001,40.8026189463,-73.9567101002,Bier International,3.5,http://www.yelp.com/biz/bier-international-new-york
2031,-AQJhfna4qcxfDnCGx_yLA,K-wyXXi5lPM2cwaV9_vXcQ,0.5022419660688777,6,40.806468357199996,-73.96506786350001,40.805354799999996,-73.9621317,Strokos Gourmet Deli,3.0,http://www.yelp.com/biz/strokos-gourmet-deli-new-york
208,-AQJhfna4qcxfDnCGx_yLA,2m5gtNQnTgKchpFK6ZiOOg,0.5103163701684945,7,40.806468357199996,-73.96506786350001,40.8073617,-73.9606979,Brownie's Cafe,4.0,http://www.yelp.com/biz/brownies-cafe-new-york
5095,-AQJhfna4qcxfDnCGx_yLA,rGEeBgbztKbFDh4kum8x1w,0.5208535241044078,8,40.806468357199996,-73.96506786350001,40.8035873,-73.9634146,Columbia Cottage,3.0,http://www.yelp.com/biz/columbia-cottage-new-york
2253,-AQJhfna4qcxfDnCGx_yLA,LJuHxobQsa7lW0c1wttY2A,0.5296308658784118,9,40.806468357199996,-73.96506786350001,40.803340000000006,-73.96687299999999,Rack & Soul,3.5,http://www.yelp.com/biz/rack-and-soul-new-york
3004,-AQJhfna4qcxfDnCGx_yLA,TWpiHjsd0c9Q9OG9l38SBg,0.5296803094701018,10,40.806468357199996,-73.96506786350001,40.7996722,-73.9625528,Lura,3.5,http://www.yelp.com/biz/lura-manhattan
3763,-AQJhfna4qcxfDnCGx_yLA,ahr0chRA-xpmq2xV_gnb3w,0.5337470792677317,11,40.806468357199996,-73.96506786350001,40.811107,-73.958314,Saga,3.0,http://www.yelp.com/biz/saga-new-york-4
5658,-AQJhfna4qcxfDnCGx_yLA,xBF3jvTc5knr9RvtV4mOWA,0.5489023689492556,12,40.806468357199996,-73.96506786350001,40.801053,-73.958433,Papa John's Pizza,2.5,http://www.yelp.com/biz/papa-johns-pizza-new-york-3
5599,-AQJhfna4qcxfDnCGx_yLA,wxrlMnjni_UanASIp4dq2g,0.5639480546189647,13,40.806468357199996,-73.96506786350001,40.8108422,-73.9581284,Max Café,3.5,http://www.yelp.com/biz/max-caf%C3%A9-new-york-2
1414,-AQJhfna4qcxfDnCGx_yLA,Ftu5JVoK5JEZAc-YABU0oQ,0.5879382448886485,14,40.806468357199996,-73.96506786350001,40.8098709,-73.95885109999999,Ajanta,2.5,http://www.yelp.com/biz/ajanta-new-york
4163,-AQJhfna4qcxfDnCGx_yLA,fFsEJQB2HhpfXV48ioxzXw,0.5891871794411787,15,40.806468357199996,-73.96506786350001,40.8029602,-73.9562943,Society Coffee,3.5,http://www.yelp.com/biz/society-coffee-new-york-2
5039,-AQJhfna4qcxfDnCGx_yLA,qT9P64pYtAEjipB4SXGolA,0.5972608911736398,16,40.806468357199996,-73.96506786350001,40.8045203,-73.9661507,Tomo Sushi & Sake Bar,3.0,http://www.yelp.com/biz/tomo-sushi-and-sake-bar-new-york
1329,-AQJhfna4qcxfDnCGx_yLA,F6ReGpF94EKWzh6dSRVIrQ,0.6014376223851228,17,40.806468357199996,-73.96506786350001,40.80489179999999,-73.96631740000001,Famous Famiglia,3.0,http://www.yelp.com/biz/famous-famiglia-new-york-2
5012,-AQJhfna4qcxfDnCGx_yLA,qBKcTxYgQzIdIlEYqv3qJg,0.6113447719420833,18,40.806468357199996,-73.96506786350001,40.8133753,-73.9560713,Amsterdam Pizza & Restaurant,4.5,http://www.yelp.com/biz/amsterdam-pizza-and-restaurant-new-york
5769,-AQJhfna4qcxfDnCGx_yLA,yQk97Xh9kBZOrE3vWFB79g,0.6159097734932577,19,40.806468357199996,-73.96506786350001,40.80481279999999,-73.9665756,Wrapp Factory,3.0,http://www.yelp.com/biz/wrapp-factory-new-york
4532,-AQJhfna4qcxfDnCGx_yLA,khYxvvCKRiR-wqMSbFzFmg,0.6174742747743552,20,40.806468357199996,-73.96506786350001,40.809705799999996,-73.9587313,Panino Sportivo Roma,3.5,http://www.yelp.com/biz/panino-sportivo-roma-new-york
5618,-AQJhfna4qcxfDnCGx_yLA,x6ZI-_J7X9WK17l77x53-w,0.6176184817491355,21,40.806468357199996,-73.96506786350001,40.8006527,-73.96540379999999,Columbia Deli,4.0,http://www.yelp.com/biz/columbia-deli-new-york
2436,-AQJhfna4qcxfDnCGx_yLA,O2jCWIOWb-IhyZGZLTNNoA,0.6206811011624116,22,40.806468357199996,-73.96506786350001,40.8048124,-73.9549485,Peking Kitchen II,4.0,http://www.yelp.com/biz/peking-kitchen-ii-new-york
4179,-AQJhfna4qcxfDnCGx_yLA,ffp58kYSK7dJGs5ER-5txw,0.6319827759580392,23,40.806468357199996,-73.96506786350001,40.8107792,-73.9581542,Sezz Medi,3.0,http://www.yelp.com/biz/sezz-medi-new-york
4945,-AQJhfna4qcxfDnCGx_yLA,pDEvJfSbXV6RaxDTwNTmWQ,0.6332852408630856,24,40.806468357199996,-73.96506786350001,40.8054246,-73.956388,The Orange Peel,4.5,http://www.yelp.com/biz/the-orange-peel-manhattan
172,-AQJhfna4qcxfDnCGx_yLA,2VQDEQuK3xLFNktPBIpmuQ,0.6482616660659632,25,40.806468357199996,-73.96506786350001,40.813185600000004,-73.9558411,New Aroma Chinese Restaurant,3.5,http://www.yelp.com/biz/new-aroma-chinese-restaurant-new-york
331,-AQJhfna4qcxfDnCGx_yLA,4n4wMkDnDY7cuWOya8UumA,0.6489523442216323,26,40.806468357199996,-73.96506786350001,40.8117391,-73.95438759999999,Domino's Pizza,2.0,http://www.yelp.com/biz/dominos-pizza-new-york-5
5492,-AQJhfna4qcxfDnCGx_yLA,vZ5-JXlJS75k8wmPNS5U5w,0.6569390677933459,27,40.806468357199996,-73.96506786350001,40.811199,-73.9578375,Max Soha,4.0,http://www.yelp.com/biz/max-soha-new-york
3672,-AQJhfna4qcxfDnCGx_yLA,_Dc5E16rCL16j2xsUHw18Q,0.657160904663689,28,40.806468357199996,-73.96506786350001,40.8026442,-73.96432890000001,Sip,3.0,http://www.yelp.com/biz/sip-new-york
3638,-AQJhfna4qcxfDnCGx_yLA,_DPEAIvsH92phbwh2W-ADA,0.6610697096652178,29,40.806468357199996,-73.96506786350001,40.8071249,-73.9644045,UniCafé,2.5,http://www.yelp.com/biz/unicaf%C3%A9-manhattan-2
724,-AQJhfna4qcxfDnCGx_yLA,8lLs3dsSN-Am2_EtNfbXqA,0.6619875940525366,30,40.806468357199996,-73.96506786350001,40.8057975769,-73.965675354,Community Food & Juice,3.5,http://www.yelp.com/biz/community-food-and-juice-new-york
58,-JuT_VuVL0OfoY3ccYGy4w,-JuT_VuVL0OfoY3ccYGy4w,0.0,1,40.8032847,-73.96744790000001,40.8032847,-73.96744790000001,La Rosita,3.5,http://www.yelp.com/biz/la-rosita-new-york-3
3203,-JuT_VuVL0OfoY3ccYGy4w,Vf0-szX1DxTVYhpnJCwr9w,0.34169439952229785,2,40.8032847,-73.96744790000001,40.8028915,-73.96730600000001,The Manchester Diner,3.0,http://www.yelp.com/biz/the-manchester-diner-manhattan
4565,-JuT_VuVL0OfoY3ccYGy4w,l9OMQ7JKxM5ues3nKEGwcg,0.34269277331644266,3,40.8032847,-73.96744790000001,40.807443,-73.963544,Brad's,3.0,http://www.yelp.com/biz/brads-manhattan
1527,-JuT_VuVL0OfoY3ccYGy4w,HC9E8-yBfMKkJTTvelRLyw,0.35291133750867465,4,40.8032847,-73.96744790000001,40.802300200000005,-73.96458259999999,Concord Garden Restaurant,2.5,http://www.yelp.com/biz/concord-garden-restaurant-new-york
911,-JuT_VuVL0OfoY3ccYGy4w,BQcgpQxUM39PMO_YDl_CqA,0.35815525255893343,5,40.8032847,-73.96744790000001,40.800871,-73.961259,Freda's Caribbean & Soul Cuisine,4.0,http://www.yelp.com/biz/fredas-caribbean-and-soul-cuisine-new-york
3450,-JuT_VuVL0OfoY3ccYGy4w,YRfDdBgWS4T80oJfKmVThA,0.3898436458109633,6,40.8032847,-73.96744790000001,40.8069523,-73.9536792,Chocolat Restaurant Lounge,3.0,http://www.yelp.com/biz/chocolat-restaurant-lounge-new-york
2598,-JuT_VuVL0OfoY3ccYGy4w,PE2Ny-4ajVpNnKH-hV5BPQ,0.4103328879568504,7,40.8032847,-73.96744790000001,40.803744,-73.955861,Chef White's Five Star Grill,3.5,http://www.yelp.com/biz/chef-whites-five-star-grill-new-york
1330,-JuT_VuVL0OfoY3ccYGy4w,F6ReGpF94EKWzh6dSRVIrQ,0.4142287571256403,8,40.8032847,-73.96744790000001,40.80489179999999,-73.96631740000001,Famous Famiglia,3.0,http://www.yelp.com/biz/famous-famiglia-new-york-2
3846,-JuT_VuVL0OfoY3ccYGy4w,bWasMbk9JZLQLQf_EUr2Sg,0.428856456004174,9,40.8032847,-73.96744790000001,40.808880200000004,-73.95933120000001,Amsterdam Restaurant & Tapas Lounge,3.0,http://www.yelp.com/biz/amsterdam-restaurant-and-tapas-lounge-new-york-3
5543,-JuT_VuVL0OfoY3ccYGy4w,wZkZmjZEJDraLJgAalnHvA,0.43092308739852336,10,40.8032847,-73.96744790000001,40.8141216,-73.9603025,Pisticci,4.0,http://www.yelp.com/biz/pisticci-new-york
4893,-JuT_VuVL0OfoY3ccYGy4w,p1izzP-7YomYrP2spmOrBQ,0.435874455957461,11,40.8032847,-73.96744790000001,40.809067999999996,-73.9594243,SubsConscious,3.0,http://www.yelp.com/biz/subsconscious-new-york
2792,-JuT_VuVL0OfoY3ccYGy4w,Rt0fJK1BA9dQDWSX1usBMg,0.4364629563686197,12,40.8032847,-73.96744790000001,40.804759499999996,-73.9557708,New Dragon Kitchen,3.5,http://www.yelp.com/biz/new-dragon-kitchen-new-york
297,-JuT_VuVL0OfoY3ccYGy4w,4GYc1Ld8r4rGQJKz_Qp07A,0.4398585330577808,13,40.8032847,-73.96744790000001,40.801462,-73.960859,Miss Mamie's Spoonbread Too,3.5,http://www.yelp.com/biz/miss-mamies-spoonbread-too-new-york
2416,-JuT_VuVL0OfoY3ccYGy4w,NRQbIOVnEnsJ8t2xg7W_zg,0.4471678504657964,14,40.8032847,-73.96744790000001,40.8045743,-73.9662755,Mel's Burger Bar,3.0,http://www.yelp.com/biz/mels-burger-bar-new-york
1836,-JuT_VuVL0OfoY3ccYGy4w,J9Yufym0BqTYVNTqW-n3ag,0.4582696381870043,15,40.8032847,-73.96744790000001,40.809463,-73.95389499999999,Perk's,3.0,http://www.yelp.com/biz/perks-new-york
2698,-JuT_VuVL0OfoY3ccYGy4w,PXWGgHRDcG6mxuOJTAX4uQ,0.4751363450681091,16,40.8032847,-73.96744790000001,40.8029695,-73.96766740000001,Famous Deli,4.0,http://www.yelp.com/biz/famous-deli-new-york-3
3032,-JuT_VuVL0OfoY3ccYGy4w,TwwaezIakfJLmMvw9ChM_A,0.4984417351669755,17,40.8032847,-73.96744790000001,40.814232000000004,-73.959849,Stop 125,3.0,http://www.yelp.com/biz/stop-125-new-york
2828,-JuT_VuVL0OfoY3ccYGy4w,Rx3m7vtf-eWBSQ4AavQl8g,0.5040002509029068,18,40.8032847,-73.96744790000001,40.8136,-73.955775,Jimbo's Coffee Shop,3.5,http://www.yelp.com/biz/jimbos-coffee-shop-new-york
1873,-JuT_VuVL0OfoY3ccYGy4w,J9xVQScnr0lYWl61_mLXMA,0.5068697564033486,19,40.8032847,-73.96744790000001,40.805055100000004,-73.9548817,Lido,4.0,http://www.yelp.com/biz/lido-manhattan
